ID,시도명,시군구명,빽다방,스타벅스,이디야,커피빈,커피지수,y,x
강릉,강원도,강릉시,2.0,4.0,17.0,0.0,0.211,3,11
고성(강원),강원도,고성군,0.0,1.0,0.0,0.0,1.0,0,10
동해,강원도,동해시,1.0,1.0,1.0,1.0,1.0,4,11
삼척,강원도,삼척시,1.0,0.0,5.0,0.0,0.0,5,11
속초,강원도,속초시,0.0,4.0,9.0,0.0,0.444,1,10
양구,강원도,양구군,0.0,0.0,1.0,0.0,0.0,0,9
양양,강원도,양양군,0.0,0.0,2.0,0.0,0.0,2,10
영월,강원도,영월군,0.0,0.0,1.0,0.0,0.0,7,10
원주,강원도,원주시,3.0,8.0,15.0,1.0,0.5,5,10
인제,강원도,인제군,0.0,2.0,3.0,0.0,0.667,1,8
정선,강원도,정선군,0.0,0.0,1.0,0.0,0.0,3,10
철원,강원도,철원군,0.0,0.0,2.0,0.0,0.0,0,7
춘천,강원도,춘천시,3.0,9.0,27.0,0.0,0.3,1,9
태백,강원도,태백시,1.0,0.0,1.0,0.0,0.0,4,10
평창,강원도,평창군,0.0,3.0,2.0,0.0,1.5,6,10
홍천,강원도,홍천군,1.0,2.0,3.0,0.0,0.5,2,8
화천,강원도,화천군,2.0,0.0,1.0,0.0,0.0,0,8
횡성,강원도,횡성군,0.0,1.0,1.0,0.0,1.0,2,9
가평,경기도,가평군,0.0,2.0,8.0,0.0,0.25,3,7
고양 덕양,경기도,덕양구,9.0,11.0,17.0,1.0,0.462,3,4
고양 일산동,경기도,일산동구,6.0,11.0,12.0,1.0,0.667,2,4
고양 일산서,경기도,일산서구,3.0,15.0,11.0,1.0,1.143,3,3
과천,경기도,과천시,0.0,3.0,2.0,0.0,1.5,8,6
광명,경기도,광명시,3.0,10.0,8.0,1.0,1.0,4,3
광주,경기도,광주시,4.0,6.0,14.0,0.0,0.333,7,9
구리,경기도,구리시,3.0,4.0,10.0,0.0,0.308,3,8
군포,경기도,군포시,9.0,5.0,7.0,1.0,0.375,9,4
김포,경기도,김포시,13.0,14.0,17.0,2.0,0.533,4,2
남양주,경기도,남양주시,7.0,12.0,43.0,1.0,0.26,2,7
동두천,경기도,동두천시,1.0,2.0,2.0,0.0,0.667,1,4
부천,경기도,부천시,13.0,16.0,26.0,5.0,0.538,5,2
성남 분당,경기도,분당구,10.0,45.0,15.0,6.0,2.04,8,7
성남 수정,경기도,수정구,6.0,3.0,11.0,1.0,0.235,8,8
성남 중원,경기도,중원구,6.0,2.0,9.0,1.0,0.2,7,8
수원 권선,경기도,권선구,4.0,8.0,11.0,1.0,0.6,9,6
수원 영통,경기도,영통구,4.0,13.0,15.0,3.0,0.842,9,7
수원 장안,경기도,장안구,5.0,4.0,4.0,3.0,0.778,10,6
수원 팔달,경기도,팔달구,5.0,8.0,6.0,2.0,0.909,10,5
시흥,경기도,시흥시,9.0,8.0,17.0,0.0,0.308,7,3
안산 단원,경기도,단원구,7.0,5.0,25.0,0.0,0.156,9,3
안산 상록,경기도,상록구,2.0,2.0,15.0,0.0,0.118,8,3
안성,경기도,안성시,0.0,6.0,4.0,0.0,1.5,11,6
안양 동안,경기도,동안구,3.0,14.0,14.0,1.0,0.882,6,3
안양 만안,경기도,만안구,7.0,4.0,9.0,1.0,0.312,5,3
양주,경기도,양주시,2.0,7.0,16.0,0.0,0.389,1,3
양평,경기도,양평군,1.0,3.0,4.0,0.0,0.6,4,9
여주,경기도,여주시,0.0,2.0,4.0,1.0,0.75,5,9
연천,경기도,연천군,0.0,0.0,1.0,2.0,2.0,1,5
오산,경기도,오산시,2.0,6.0,8.0,0.0,0.6,10,4
용인 기흥,경기도,기흥구,8.0,12.0,22.0,1.0,0.433,9,8
용인 수지,경기도,수지구,5.0,9.0,16.0,1.0,0.476,8,9
용인 처인,경기도,처인구,2.0,5.0,9.0,1.0,0.545,9,9
의왕,경기도,의왕시,3.0,2.0,4.0,0.0,0.286,9,5
의정부,경기도,의정부시,6.0,10.0,22.0,0.0,0.357,1,7
이천,경기도,이천시,2.0,8.0,9.0,1.0,0.818,6,9
파주,경기도,파주시,9.0,8.0,20.0,1.0,0.31,2,3
평택,경기도,평택시,6.0,7.0,19.0,2.0,0.36,11,4
포천,경기도,포천시,0.0,5.0,11.0,0.0,0.455,1,6
하남,경기도,하남시,3.0,10.0,27.0,1.0,0.367,3,9
화성,경기도,화성시,17.0,19.0,28.0,5.0,0.533,10,3
거제,경상남도,거제시,0.0,6.0,9.0,0.0,0.667,22,8
거창,경상남도,거창군,1.0,0.0,1.0,0.0,0.0,16,6
고성(경남),경상남도,고성군,2.0,0.0,1.0,0.0,0.0,22,7
김해,경상남도,김해시,3.0,13.0,30.0,1.0,0.424,20,9
남해,경상남도,남해군,0.0,0.0,1.0,0.0,0.0,22,6
밀양,경상남도,밀양시,0.0,3.0,6.0,0.0,0.5,17,8
사천,경상남도,사천시,0.0,2.0,4.0,0.0,0.5,21,6
산청,경상남도,산청군,0.0,1.0,1.0,0.0,1.0,19,5
양산,경상남도,양산시,1.0,7.0,9.0,0.0,0.7,19,7
진주,경상남도,진주시,10.0,7.0,18.0,1.0,0.286,18,6
창녕,경상남도,창녕군,0.0,1.0,2.0,0.0,0.5,17,7
창원 합포,경상남도,마산합포구,0.0,4.0,6.0,1.0,0.833,19,8
창원 회원,경상남도,마산회원구,0.0,6.0,4.0,0.0,1.5,21,7
창원 성산,경상남도,성산구,2.0,10.0,13.0,3.0,0.867,20,7
창원 의창,경상남도,의창구,0.0,4.0,8.0,0.0,0.5,20,6
창원 진해,경상남도,진해구,1.0,2.0,6.0,1.0,0.429,20,8
통영,경상남도,통영시,3.0,1.0,0.0,1.0,0.667,21,8
하동,경상남도,하동군,1.0,1.0,0.0,0.0,1.0,20,5
함안,경상남도,함안군,0.0,0.0,1.0,2.0,2.0,19,6
함양,경상남도,함양군,1.0,0.0,1.0,0.0,0.0,17,6
합천,경상남도,합천군,0.0,0.0,1.0,0.0,0.0,16,7
경산,경상북도,경산시,4.0,8.0,8.0,0.0,0.667,12,11
경주,경상북도,경주시,1.0,7.0,25.0,2.0,0.346,12,12
고령,경상북도,고령군,1.0,1.0,1.0,0.0,0.5,13,9
구미,경상북도,구미시,5.0,10.0,15.0,0.0,0.5,10,10
김천,경상북도,김천시,1.0,2.0,2.0,0.0,0.667,11,9
문경,경상북도,문경시,1.0,1.0,4.0,0.0,0.2,8,10
상주,경상북도,상주시,0.0,0.0,2.0,1.0,0.5,11,8
성주,경상북도,성주군,0.0,1.0,1.0,0.0,1.0,13,11
안동,경상북도,안동시,1.0,5.0,6.0,0.0,0.714,9,10
영덕,경상북도,영덕군,0.0,1.0,2.0,1.0,1.0,7,11
영양,경상북도,영양군,0.0,1.0,0.0,0.0,1.0,9,11
영주,경상북도,영주시,1.0,0.0,2.0,0.0,0.0,10,9
영천,경상북도,영천시,2.0,0.0,2.0,0.0,0.0,12,10
예천,경상북도,예천군,1.0,0.0,1.0,0.0,0.0,10,8
울진,경상북도,울진군,1.0,0.0,3.0,1.0,0.25,6,11
청도,경상북도,청도군,0.0,1.0,1.0,0.0,1.0,13,10
청송,경상북도,청송군,0.0,1.0,1.0,1.0,2.0,10,11
칠곡,경상북도,칠곡군,2.0,0.0,6.0,0.0,0.0,12,9
포항 남구,경상북도,남구,2.0,8.0,6.0,0.0,1.0,11,12
포항 북구,경상북도,북구,3.0,5.0,12.0,1.0,0.4,10,12
광주 광산,광주광역시,광산구,4.0,14.0,20.0,0.0,0.583,21,2
광주 남구,광주광역시,남구,2.0,11.0,9.0,2.0,1.182,23,2
광주 동구,광주광역시,동구,4.0,9.0,2.0,1.0,1.667,23,3
광주 북구,광주광역시,북구,3.0,12.0,16.0,0.0,0.632,22,3
광주 서구,광주광역시,서구,1.0,11.0,13.0,1.0,0.857,22,2
대구 남구,대구광역시,남구,0.0,3.0,6.0,0.0,0.5,15,9
대구 달서,대구광역시,달서구,8.0,18.0,16.0,0.0,0.75,16,8
대구 달성,대구광역시,달성군,3.0,4.0,10.0,0.0,0.308,16,9
대구 동구,대구광역시,동구,3.0,9.0,9.0,0.0,0.75,15,10
대구 북구,대구광역시,북구,5.0,5.0,10.0,0.0,0.333,14,8
대구 서구,대구광역시,서구,1.0,2.0,3.0,0.0,0.5,15,8
대구 수성,대구광역시,수성구,4.0,19.0,10.0,1.0,1.429,14,10
대구 중구,대구광역시,중구,4.0,9.0,7.0,3.0,1.091,14,9
대전 대덕,대전광역시,대덕구,2.0,5.0,4.0,0.0,0.833,13,5
대전 동구,대전광역시,동구,6.0,5.0,2.0,0.0,0.625,14,5
대전 서구,대전광역시,서구,17.0,22.0,13.0,1.0,0.767,16,4
대전 유성,대전광역시,유성구,9.0,12.0,12.0,1.0,0.619,15,4
대전 중구,대전광역시,중구,7.0,5.0,3.0,0.0,0.5,15,5
부산 강서,부산광역시,강서구,0.0,3.0,8.0,1.0,0.5,18,8
부산 금정,부산광역시,금정구,1.0,8.0,7.0,0.0,1.0,16,10
부산 기장,부산광역시,기장군,0.0,4.0,5.0,1.0,1.0,16,12
부산 남구,부산광역시,남구,1.0,6.0,13.0,0.0,0.429,19,11
부산 동구,부산광역시,동구,0.0,4.0,1.0,1.0,5.0,18,10
부산 동래,부산광역시,동래구,1.0,5.0,13.0,0.0,0.357,16,11
부산 부산진,부산광역시,부산진구,3.0,19.0,8.0,1.0,1.818,17,10
부산 북구,부산광역시,북구,3.0,2.0,7.0,1.0,0.3,17,9
부산 사상,부산광역시,사상구,0.0,3.0,4.0,0.0,0.75,18,9
부산 사하,부산광역시,사하구,1.0,8.0,8.0,0.0,0.889,19,10
부산 서구,부산광역시,서구,0.0,2.0,2.0,0.0,1.0,19,9
부산 수영,부산광역시,수영구,0.0,6.0,5.0,1.0,1.4,20,11
부산 연제,부산광역시,연제구,0.0,6.0,8.0,0.0,0.75,17,11
부산 영도,부산광역시,영도구,0.0,1.0,2.0,0.0,0.5,20,10
부산 중구,부산광역시,중구,3.0,8.0,4.0,3.0,1.571,18,11
부산 해운대,부산광역시,해운대구,2.0,33.0,7.0,4.0,4.111,17,12
서울 강남,서울특별시,강남구,9.0,76.0,23.0,39.0,3.594,7,7
서울 강동,서울특별시,강동구,8.0,13.0,14.0,6.0,0.864,5,8
서울 강북,서울특별시,강북구,4.0,5.0,11.0,0.0,0.333,3,5
서울 강서,서울특별시,강서구,10.0,16.0,34.0,5.0,0.477,5,4
서울 관악,서울특별시,관악구,7.0,11.0,21.0,2.0,0.464,8,5
서울 광진,서울특별시,광진구,6.0,17.0,12.0,3.0,1.111,6,7
서울 구로,서울특별시,구로구,8.0,10.0,18.0,2.0,0.462,8,4
서울 금천,서울특별시,금천구,1.0,11.0,17.0,2.0,0.722,7,4
서울 노원,서울특별시,노원구,8.0,11.0,17.0,2.0,0.52,2,6
서울 도봉,서울특별시,도봉구,4.0,2.0,12.0,0.0,0.125,2,5
서울 동대문,서울특별시,동대문구,3.0,9.0,16.0,3.0,0.632,4,7
서울 동작,서울특별시,동작구,2.0,11.0,10.0,1.0,1.0,6,5
서울 마포,서울특별시,마포구,6.0,26.0,22.0,7.0,1.179,5,5
서울 서대문,서울특별시,서대문구,4.0,17.0,12.0,4.0,1.312,4,5
서울 서초,서울특별시,서초구,4.0,38.0,14.0,23.0,3.389,7,6
서울 성동,서울특별시,성동구,9.0,5.0,13.0,1.0,0.273,5,7
서울 성북,서울특별시,성북구,10.0,15.0,17.0,3.0,0.667,3,6
서울 송파,서울특별시,송파구,7.0,33.0,28.0,7.0,1.143,6,8
서울 양천,서울특별시,양천구,1.0,14.0,15.0,4.0,1.125,6,4
서울 영등포,서울특별시,영등포구,6.0,28.0,25.0,7.0,1.129,7,5
서울 용산,서울특별시,용산구,4.0,18.0,10.0,3.0,1.5,6,6
서울 은평,서울특별시,은평구,6.0,6.0,18.0,2.0,0.333,4,4
서울 종로,서울특별시,종로구,3.0,27.0,11.0,13.0,2.857,4,6
서울 중구,서울특별시,중구,5.0,42.0,13.0,7.0,2.722,5,6
서울 중랑,서울특별시,중랑구,6.0,6.0,13.0,1.0,0.368,4,8
세종,세종특별자치시,세종특별자치시,6.0,7.0,14.0,0.0,0.35,13,4
울산 남구,울산광역시,남구,7.0,14.0,29.0,1.0,0.417,15,12
울산 동구,울산광역시,동구,1.0,2.0,7.0,0.0,0.25,14,12
울산 북구,울산광역시,북구,1.0,5.0,16.0,0.0,0.294,13,12
울산 울주,울산광역시,울주군,0.0,1.0,10.0,0.0,0.1,14,11
울산 중구,울산광역시,중구,0.0,6.0,12.0,1.0,0.583,15,11
인천 강화,인천광역시,강화군,1.0,1.0,1.0,0.0,0.5,5,1
인천 계양,인천광역시,계양구,6.0,4.0,14.0,0.0,0.2,7,2
인천 남동,인천광역시,남동구,12.0,12.0,26.0,1.0,0.342,10,2
인천 동구,인천광역시,동구,1.0,2.0,1.0,0.0,1.0,6,2
인천 미추홀,인천광역시,미추홀구,4.0,10.0,13.0,0.0,0.588,9,2
인천 부평,인천광역시,부평구,6.0,9.0,22.0,1.0,0.357,8,2
인천 서구,인천광역시,서구,16.0,10.0,23.0,0.0,0.256,6,1
인천 연수,인천광역시,연수구,10.0,14.0,15.0,5.0,0.76,10,1
인천 옹진,인천광역시,옹진군,0.0,1.0,2.0,0.0,0.5,10,0
인천 중구,인천광역시,중구,7.0,4.0,11.0,2.0,0.333,9,1
강진,전라남도,강진군,0.0,0.0,1.0,0.0,0.0,24,1
고흥,전라남도,고흥군,0.0,0.0,2.0,0.0,0.0,22,5
곡성,전라남도,곡성군,0.0,0.0,1.0,0.0,0.0,21,3
광양,전라남도,광양시,2.0,2.0,9.0,0.0,0.182,21,5
구례,전라남도,구례군,0.0,0.0,1.0,0.0,0.0,20,4
나주,전라남도,나주시,3.0,1.0,4.0,0.0,0.143,22,1
담양,전라남도,담양군,0.0,0.0,1.0,0.0,0.0,20,2
목포,전라남도,목포시,9.0,5.0,11.0,0.0,0.25,22,0
무안,전라남도,무안군,3.0,1.0,5.0,0.0,0.125,21,1
순천,전라남도,순천시,3.0,5.0,19.0,0.0,0.227,22,4
신안,전라남도,신안군,0.0,0.0,1.0,0.0,0.0,21,0
여수,전라남도,여수시,3.0,8.0,18.0,0.0,0.381,23,4
영광,전라남도,영광군,0.0,0.0,3.0,0.0,0.0,19,1
영암,전라남도,영암군,1.0,0.0,2.0,0.0,0.0,23,1
완도,전라남도,완도군,0.0,0.0,1.0,0.0,0.0,25,2
장성,전라남도,장성군,0.0,0.0,1.0,0.0,0.0,19,2
장흥,전라남도,장흥군,0.0,0.0,1.0,0.0,0.0,24,2
진도,전라남도,진도군,0.0,1.0,0.0,0.0,1.0,24,0
함평,전라남도,함평군,0.0,0.0,1.0,0.0,0.0,20,1
해남,전라남도,해남군,1.0,0.0,2.0,0.0,0.0,23,0
화순,전라남도,화순군,1.0,0.0,1.0,0.0,0.0,21,4
고창,전라북도,고창군,1.0,0.0,1.0,0.0,0.0,18,1
군산,전라북도,군산시,1.0,4.0,8.0,0.0,0.444,16,2
김제,전라북도,김제시,1.0,0.0,1.0,0.0,0.0,17,3
남원,전라북도,남원시,1.0,0.0,1.0,0.0,0.0,18,5
무주,전라북도,무주군,0.0,0.0,1.0,0.0,0.0,16,5
부안,전라북도,부안군,1.0,1.0,4.0,0.0,0.2,17,2
순창,전라북도,순창군,0.0,0.0,1.0,0.0,0.0,20,3
완주,전라북도,완주군,0.0,0.0,4.0,0.0,0.0,17,4
익산,전라북도,익산시,3.0,4.0,8.0,0.0,0.364,16,3
임실,전라북도,임실군,0.0,1.0,1.0,0.0,1.0,19,4
장수,전라북도,장수군,0.0,0.0,1.0,0.0,0.0,17,5
전주 덕진,전라북도,덕진구,9.0,6.0,20.0,0.0,0.207,18,3
전주 완산,전라북도,완산구,8.0,10.0,14.0,1.0,0.5,19,3
정읍,전라북도,정읍시,2.0,0.0,2.0,0.0,0.0,18,2
진안,전라북도,진안군,1.0,0.0,1.0,0.0,0.0,18,4
서귀포,제주특별자치도,서귀포시,9.0,10.0,7.0,0.0,0.625,26,5
제주,제주특별자치도,제주시,10.0,15.0,11.0,2.0,0.81,25,5
계룡,충청남도,계룡시,0.0,1.0,0.0,0.0,1.0,14,4
공주,충청남도,공주시,1.0,2.0,4.0,0.0,0.4,12,4
금산,충청남도,금산군,1.0,0.0,1.0,1.0,0.5,15,3
논산,충청남도,논산시,1.0,2.0,2.0,0.0,0.667,14,3
당진,충청남도,당진시,3.0,2.0,7.0,0.0,0.2,12,1
보령,충청남도,보령시,1.0,1.0,1.0,0.0,0.5,13,2
부여,충청남도,부여군,0.0,0.0,2.0,0.0,0.0,14,2
서산,충청남도,서산시,1.0,3.0,8.0,0.0,0.333,13,1
서천,충청남도,서천군,0.0,2.0,2.0,0.0,1.0,15,2
아산,충청남도,아산시,9.0,5.0,9.0,0.0,0.278,11,1
예산,충청남도,예산군,1.0,1.0,3.0,0.0,0.25,12,3
천안 동남,충청남도,동남구,7.0,5.0,6.0,1.0,0.462,11,2
천안 서북,충청남도,서북구,11.0,13.0,15.0,0.0,0.5,11,3
청양,충청남도,청양군,0.0,1.0,1.0,0.0,1.0,13,3
태안,충청남도,태안군,1.0,0.0,2.0,0.0,0.0,11,0
홍성,충청남도,홍성군,3.0,0.0,2.0,0.0,0.0,12,2
괴산,충청북도,괴산군,0.0,0.0,2.0,0.0,0.0,12,8
단양,충청북도,단양군,0.0,0.0,1.0,0.0,0.0,11,7
보은,충청북도,보은군,1.0,1.0,1.0,0.0,0.5,13,8
영동,충청북도,영동군,1.0,0.0,1.0,0.0,0.0,15,7
옥천,충청북도,옥천군,1.0,0.0,1.0,0.0,0.0,15,6
음성,충청북도,음성군,0.0,2.0,3.0,0.0,0.667,11,5
제천,충청북도,제천시,0.0,2.0,9.0,1.0,0.333,10,7
증평,충청북도,증평군,1.0,1.0,4.0,0.0,0.2,13,6
진천,충청북도,진천군,2.0,0.0,4.0,0.0,0.0,12,5
청주 상당,충청북도,상당구,2.0,4.0,8.0,1.0,0.5,14,6
청주 서원,충청북도,서원구,5.0,4.0,7.0,0.0,0.333,14,7
청주 청원,충청북도,청원구,5.0,3.0,8.0,0.0,0.231,13,7
청주 흥덕,충청북도,흥덕구,6.0,8.0,17.0,0.0,0.348,12,7
충주,충청북도,충주시,2.0,4.0,8.0,0.0,0.4,12,6
의성,경상북도,의성군,0.0,0.0,0.0,0.0,0.0,11,11
군위,경상북도,군위군,0.0,0.0,0.0,0.0,0.0,11,10
의령,경상남도,의령군,0.0,0.0,0.0,0.0,0.0,18,7
